TPI=财政预算支出/当地GDP,北京市,天津市,河北省,
2011年,0.188799102,0.221427427,0.165416863,0.191881131
2012年,0.193711859,0.237002101,0.176771314,0.202495091
2013年,0.197479962,0.25632051,0.181766394,0.211855622
2014年,0.197359766,0.271103133,0.185541614,0.218001504
2015年,0.231554011,0.297104646,0.213353461,0.247337373
2016年,0.236926246,0.322328617,0.212457286,0.257237383
2017年,0.228374996,0.263645126,0.216677763,0.236232628
2018年,0.225682052,0.232222048,0.237769045,0.231891048
2019年,0.20900463,0.252976415,0.237546386,0.23317581
2020年,0.197109903,0.223758671,0.249200843,0.223356472
