area,time,网上银行,电子银行,网银,众筹,P2P
北京,2011-01-01,395,0,187,0,589
北京,2011-01-02,352,61,172,0,678
北京,2011-01-03,366,64,172,0,665
北京,2011-01-04,428,89,191,0,627
北京,2011-01-05,364,78,188,0,737
北京,2011-01-06,386,85,201,0,594
北京,2011-01-07,352,80,188,0,693
北京,2011-01-08,363,63,177,0,647
北京,2011-01-09,355,72,169,0,603
北京,2011-01-10,426,80,228,0,547
北京,2011-01-11,422,76,226,0,527
北京,2011-01-12,439,93,213,0,552
北京,2011-01-13,313,74,207,0,575
北京,2011-01-14,366,61,215,0,563
北京,2011-01-15,352,59,186,0,667
北京,2011-01-16,299,70,209,0,595
北京,2011-01-17,363,70,216,0,575
北京,2011-01-18,346,70,213,0,475
北京,2011-01-19,288,74,259,0,595
北京,2011-01-20,299,64,186,0,547
北京,2011-01-21,315,82,222,0,519
北京,2011-01-22,333,63,165,0,434
北京,2011-01-23,287,68,165,0,454
北京,2011-01-24,316,82,191,0,523
北京,2011-01-25,330,59,233,0,478
北京,2011-01-26,341,68,170,0,431
北京,2011-01-27,267,64,209,0,471
北京,2011-01-28,291,64,194,0,385
北京,2011-01-29,276,64,158,0,399
北京,2011-01-30,279,76,157,0,385
北京,2011-01-31,290,61,151,0,296
北京,2011-02-01,245,57,165,0,274
北京,2011-02-02,183,59,106,0,250
北京,2011-02-03,158,61,123,0,243
北京,2011-02-04,176,0,142,0,225
北京,2011-02-05,194,57,131,0,207
北京,2011-02-06,207,57,150,0,265
北京,2011-02-07,212,0,158,0,265
北京,2011-02-08,257,59,161,0,307
北京,2011-02-09,323,64,200,0,411
北京,2011-02-10,340,63,223,0,462
北京,2011-02-11,355,66,211,0,450
北京,2011-02-12,354,72,245,0,487
北京,2011-02-13,305,66,179,0,555
北京,2011-02-14,363,68,219,0,485
北京,2011-02-15,420,59,237,0,606
北京,2011-02-16,372,72,231,0,622
北京,2011-02-17,343,82,194,0,582
北京,2011-02-18,357,70,239,0,595
北京,2011-02-19,323,72,202,0,625
北京,2011-02-20,321,66,226,0,623
北京,2011-02-21,385,68,219,0,689
北京,2011-02-22,380,70,182,0,726
北京,2011-02-23,397,72,193,0,693
北京,2011-02-24,389,76,200,0,673
北京,2011-02-25,388,78,225,0,738
北京,2011-02-26,411,83,223,0,794
北京,2011-02-27,371,61,190,0,853
北京,2011-02-28,403,83,218,0,678
北京,2011-03-01,411,78,223,0,730
北京,2011-03-02,371,80,245,0,737
北京,2011-03-03,433,82,219,0,687
北京,2011-03-04,400,76,207,0,732
北京,2011-03-05,394,74,243,0,760
北京,2011-03-06,419,70,212,0,699
北京,2011-03-07,433,80,195,0,707
北京,2011-03-08,360,78,213,0,647
北京,2011-03-09,464,78,236,0,658
北京,2011-03-10,456,78,219,0,664
北京,2011-03-11,361,80,212,0,782
北京,2011-03-12,369,70,209,0,848
北京,2011-03-13,420,66,223,0,810
北京,2011-03-14,425,80,202,0,794
北京,2011-03-15,394,68,220,0,729
北京,2011-03-16,426,83,218,0,727
北京,2011-03-17,403,72,207,0,716
北京,2011-03-18,350,72,240,0,848
北京,2011-03-19,347,64,234,0,831
北京,2011-03-20,391,59,201,0,743
北京,2011-03-21,383,82,204,0,768
北京,2011-03-22,357,87,195,0,792
北京,2011-03-23,371,68,190,0,777
北京,2011-03-24,395,80,204,0,810
北京,2011-03-25,371,66,198,0,729
北京,2011-03-26,367,72,231,0,693
北京,2011-03-27,402,72,201,0,616
北京,2011-03-28,434,68,228,0,706
北京,2011-03-29,375,72,169,0,662
北京,2011-03-30,372,89,218,0,701
北京,2011-03-31,403,82,205,0,712
北京,2011-04-01,327,112,188,0,772
北京,2011-04-02,349,66,209,0,679
北京,2011-04-03,330,63,190,0,738
北京,2011-04-04,290,68,187,0,645
北京,2011-04-05,341,63,186,0,734
北京,2011-04-06,389,72,218,0,786
北京,2011-04-07,367,80,198,0,716
北京,2011-04-08,357,64,216,0,696
北京,2011-04-09,323,59,218,0,765
北京,2011-04-10,312,72,180,0,698
北京,2011-04-11,399,74,207,0,658
北京,2011-04-12,392,70,240,0,651
北京,2011-04-13,352,80,245,0,661
北京,2011-04-14,333,91,195,0,656
北京,2011-04-15,405,64,243,0,684
北京,2011-04-16,406,66,225,0,651
北京,2011-04-17,371,74,191,0,783
