area,time,手机银行,精准营销,电子商务,在线理财,网联
北京,2011-01-01,72,57,193,57,0
北京,2011-01-02,74,57,218,0,59
北京,2011-01-03,83,57,271,64,63
北京,2011-01-04,110,80,437,57,59
北京,2011-01-05,102,66,443,59,57
北京,2011-01-06,93,74,436,59,0
北京,2011-01-07,83,72,349,0,57
北京,2011-01-08,74,66,229,59,57
北京,2011-01-09,91,63,251,59,0
北京,2011-01-10,97,66,434,61,61
北京,2011-01-11,110,76,357,59,61
北京,2011-01-12,95,80,392,0,61
北京,2011-01-13,85,76,426,57,57
北京,2011-01-14,83,64,335,64,63
北京,2011-01-15,78,57,219,0,57
北京,2011-01-16,78,57,208,0,0
北京,2011-01-17,93,68,366,57,61
北京,2011-01-18,101,68,372,59,59
北京,2011-01-19,95,89,347,0,59
北京,2011-01-20,93,68,383,59,0
北京,2011-01-21,97,61,267,0,59
北京,2011-01-22,80,0,177,0,0
北京,2011-01-23,80,59,198,0,0
北京,2011-01-24,104,72,321,59,59
北京,2011-01-25,108,61,291,0,63
北京,2011-01-26,93,64,242,61,57
北京,2011-01-27,93,63,242,57,59
北京,2011-01-28,104,66,229,57,57
北京,2011-01-29,80,57,118,0,57
北京,2011-01-30,82,59,173,0,0
北京,2011-01-31,85,59,150,57,0
北京,2011-02-01,64,57,104,0,57
北京,2011-02-02,64,0,82,0,0
北京,2011-02-03,57,0,102,0,0
北京,2011-02-04,64,59,120,0,0
北京,2011-02-05,68,0,104,0,0
北京,2011-02-06,66,0,102,0,0
北京,2011-02-07,63,0,114,61,0
北京,2011-02-08,74,57,133,57,0
北京,2011-02-09,93,59,290,61,57
北京,2011-02-10,99,68,321,0,0
北京,2011-02-11,85,82,374,57,57
北京,2011-02-12,82,68,395,57,57
北京,2011-02-13,108,61,264,57,61
北京,2011-02-14,101,72,428,57,63
北京,2011-02-15,99,70,443,57,61
北京,2011-02-16,120,66,442,59,59
北京,2011-02-17,110,78,442,57,59
北京,2011-02-18,114,70,400,61,64
北京,2011-02-19,76,59,250,59,0
北京,2011-02-20,91,64,276,57,0
北京,2011-02-21,125,78,558,57,57
北京,2011-02-22,112,78,499,64,59
北京,2011-02-23,112,70,560,59,66
北京,2011-02-24,99,68,560,59,59
北京,2011-02-25,106,80,499,57,59
北京,2011-02-26,89,80,330,61,0
北京,2011-02-27,95,64,349,0,59
北京,2011-02-28,121,72,554,59,59
北京,2011-03-01,112,82,490,59,57
北京,2011-03-02,104,68,592,63,63
北京,2011-03-03,106,74,627,57,59
北京,2011-03-04,101,66,499,0,61
北京,2011-03-05,95,61,327,0,0
北京,2011-03-06,85,61,341,0,57
北京,2011-03-07,110,87,591,63,64
北京,2011-03-08,101,85,566,57,64
北京,2011-03-09,106,66,577,63,61
北京,2011-03-10,120,80,555,64,57
北京,2011-03-11,110,70,530,0,63
北京,2011-03-12,89,63,344,59,0
北京,2011-03-13,93,66,358,59,0
北京,2011-03-14,129,76,589,0,64
北京,2011-03-15,129,64,575,0,57
北京,2011-03-16,123,66,526,59,61
北京,2011-03-17,102,87,496,0,57
北京,2011-03-18,121,70,465,63,64
北京,2011-03-19,87,61,282,59,0
北京,2011-03-20,101,63,340,0,57
北京,2011-03-21,123,83,527,0,63
北京,2011-03-22,123,83,580,59,57
北京,2011-03-23,101,64,533,59,57
北京,2011-03-24,131,82,492,0,61
北京,2011-03-25,102,76,459,0,61
北京,2011-03-26,82,61,340,0,59
北京,2011-03-27,87,66,332,0,63
北京,2011-03-28,139,91,577,57,63
北京,2011-03-29,133,78,622,0,63
北京,2011-03-30,102,95,496,57,64
北京,2011-03-31,110,87,541,59,0
北京,2011-04-01,129,82,529,0,59
北京,2011-04-02,104,72,443,0,57
北京,2011-04-03,85,64,190,57,0
北京,2011-04-04,93,57,248,57,61
北京,2011-04-05,95,70,298,61,57
北京,2011-04-06,106,74,560,59,59
北京,2011-04-07,114,85,588,57,64
北京,2011-04-08,93,74,529,61,57
北京,2011-04-09,87,64,326,0,0
北京,2011-04-10,91,63,333,61,59
北京,2011-04-11,104,82,516,57,57
北京,2011-04-12,102,76,529,61,0
北京,2011-04-13,110,80,538,0,59
北京,2011-04-14,108,72,512,0,61
北京,2011-04-15,83,76,475,0,61
北京,2011-04-16,102,61,273,59,0
北京,2011-04-17,101,64,326,57,59
北京,2011-04-18,108,68,518,59,59
北京,2011-04-19,110,82,560,61,64
北京,2011-04-20,104,82,544,0,63
北京,2011-04-21,99,68,541,57,0
北京,2011-04-22,95,76,464,57,59
北京,2011-04-23,85,59,313,0,0
北京,2011-04-24,83,64,318,57,0
北京,2011-04-25,106,82,580,0,59
北京,2011-04-26,104,76,566,59,0
北京,2011-04-27,104,78,492,0,59
北京,2011-04-28,99,74,543,0,57
北京,2011-04-29,106,72,408,57,0
北京,2011-04-30,89,57,225,0,59
北京,2011-05-01,80,64,233,0,57
北京,2011-05-02,80,57,298,0,57
北京,2011-05-03,99,68,524,0,0
北京,2011-05-04,114,95,551,66,57
北京,2011-05-05,114,91,591,0,0
北京,2011-05-06,93,89,498,0,63
北京,2011-05-07,82,61,357,0,59
北京,2011-05-08,95,61,408,0,0
北京,2011-05-09,121,87,645,59,57
北京,2011-05-10,102,87,577,57,0
北京,2011-05-11,93,68,551,57,57
北京,2011-05-12,91,85,602,59,57
北京,2011-05-13,91,78,571,0,63
北京,2011-05-14,89,63,420,0,0
北京,2011-05-15,78,61,416,57,0
北京,2011-05-16,97,70,613,57,61
北京,2011-05-17,99,76,554,0,57
北京,2011-05-18,85,85,572,0,59
北京,2011-05-19,112,68,552,0,61
北京,2011-05-20,93,68,470,59,64
北京,2011-05-21,83,63,315,57,57
北京,2011-05-22,76,64,357,0,0
北京,2011-05-23,102,74,628,0,61
北京,2011-05-24,104,82,606,59,66
北京,2011-05-25,114,78,566,61,57
