area,time,移动支付,网上银行,电子银行,网银,互联网理财
北京,2011-01-01,70,395,0,187,0
北京,2011-01-02,80,352,61,172,0
北京,2011-01-03,72,366,64,172,0
北京,2011-01-04,114,428,89,191,0
北京,2011-01-05,95,364,78,188,0
北京,2011-01-06,101,386,85,201,0
北京,2011-01-07,97,352,80,188,0
北京,2011-01-08,91,363,63,177,0
北京,2011-01-09,87,355,72,169,0
北京,2011-01-10,108,426,80,228,0
北京,2011-01-11,91,422,76,226,0
北京,2011-01-12,101,439,93,213,0
北京,2011-01-13,74,313,74,207,0
北京,2011-01-14,101,366,61,215,0
北京,2011-01-15,72,352,59,186,0
北京,2011-01-16,76,299,70,209,0
北京,2011-01-17,99,363,70,216,0
北京,2011-01-18,97,346,70,213,0
北京,2011-01-19,74,288,74,259,0
北京,2011-01-20,91,299,64,186,0
北京,2011-01-21,120,315,82,222,0
北京,2011-01-22,80,333,63,165,0
北京,2011-01-23,72,287,68,165,0
北京,2011-01-24,91,316,82,191,0
北京,2011-01-25,101,330,59,233,0
北京,2011-01-26,87,341,68,170,0
北京,2011-01-27,95,267,64,209,0
北京,2011-01-28,80,291,64,194,0
北京,2011-01-29,76,276,64,158,0
北京,2011-01-30,80,279,76,157,0
北京,2011-01-31,82,290,61,151,0
北京,2011-02-01,57,245,57,165,0
北京,2011-02-02,61,183,59,106,0
北京,2011-02-03,66,158,61,123,0
北京,2011-02-04,59,176,0,142,0
北京,2011-02-05,57,194,57,131,0
北京,2011-02-06,68,207,57,150,0
北京,2011-02-07,61,212,0,158,0
北京,2011-02-08,68,257,59,161,0
北京,2011-02-09,76,323,64,200,0
北京,2011-02-10,74,340,63,223,0
北京,2011-02-11,97,355,66,211,0
北京,2011-02-12,95,354,72,245,0
北京,2011-02-13,85,305,66,179,0
北京,2011-02-14,83,363,68,219,0
北京,2011-02-15,104,420,59,237,0
北京,2011-02-16,127,372,72,231,0
北京,2011-02-17,104,343,82,194,0
北京,2011-02-18,87,357,70,239,0
北京,2011-02-19,93,323,72,202,0
北京,2011-02-20,99,321,66,226,0
北京,2011-02-21,116,385,68,219,0
北京,2011-02-22,123,380,70,182,0
北京,2011-02-23,125,397,72,193,0
北京,2011-02-24,93,389,76,200,0
北京,2011-02-25,137,388,78,225,0
北京,2011-02-26,118,411,83,223,0
北京,2011-02-27,112,371,61,190,0
北京,2011-02-28,151,403,83,218,0
北京,2011-03-01,131,411,78,223,0
北京,2011-03-02,116,371,80,245,0
北京,2011-03-03,116,433,82,219,0
北京,2011-03-04,112,400,76,207,0
北京,2011-03-05,83,394,74,243,0
北京,2011-03-06,74,419,70,212,0
北京,2011-03-07,114,433,80,195,0
北京,2011-03-08,101,360,78,213,0
北京,2011-03-09,118,464,78,236,0
北京,2011-03-10,125,456,78,219,0
北京,2011-03-11,95,361,80,212,0
北京,2011-03-12,78,369,70,209,0
北京,2011-03-13,63,420,66,223,0
北京,2011-03-14,123,425,80,202,0
北京,2011-03-15,95,394,68,220,0
北京,2011-03-16,108,426,83,218,0
北京,2011-03-17,121,403,72,207,0
北京,2011-03-18,85,350,72,240,0
北京,2011-03-19,85,347,64,234,0
北京,2011-03-20,87,391,59,201,0
北京,2011-03-21,123,383,82,204,0
北京,2011-03-22,106,357,87,195,0
北京,2011-03-23,108,371,68,190,0
北京,2011-03-24,110,395,80,204,0
北京,2011-03-25,99,371,66,198,0
北京,2011-03-26,87,367,72,231,0
北京,2011-03-27,78,402,72,201,0
北京,2011-03-28,120,434,68,228,0
北京,2011-03-29,82,375,72,169,0
北京,2011-03-30,106,372,89,218,0
北京,2011-03-31,102,403,82,205,0
北京,2011-04-01,99,327,112,188,0
北京,2011-04-02,99,349,66,209,0
北京,2011-04-03,64,330,63,190,0
北京,2011-04-04,76,290,68,187,0
北京,2011-04-05,80,341,63,186,0
北京,2011-04-06,101,389,72,218,0
北京,2011-04-07,93,367,80,198,0
北京,2011-04-08,99,357,64,216,0
北京,2011-04-09,82,323,59,218,0
北京,2011-04-10,70,312,72,180,0
北京,2011-04-11,102,399,74,207,0
北京,2011-04-12,179,392,70,240,0
北京,2011-04-13,108,352,80,245,0
北京,2011-04-14,106,333,91,195,0
北京,2011-04-15,154,405,64,243,0
北京,2011-04-16,87,406,66,225,0
北京,2011-04-17,85,371,74,191,0
北京,2011-04-18,101,367,82,211,0
北京,2011-04-19,123,366,66,228,0
北京,2011-04-20,151,392,70,216,0
北京,2011-04-21,97,392,63,233,0
北京,2011-04-22,104,333,68,183,0
北京,2011-04-23,80,360,59,193,0
北京,2011-04-24,82,374,70,182,0
北京,2011-04-25,102,310,76,205,0
北京,2011-04-26,121,364,74,225,0
北京,2011-04-27,97,369,72,204,0
北京,2011-04-28,104,316,72,197,0
北京,2011-04-29,97,340,68,215,0
北京,2011-04-30,80,358,61,209,0
北京,2011-05-01,68,253,63,194,0
北京,2011-05-02,74,333,64,179,0
北京,2011-05-03,139,405,76,209,0
北京,2011-05-04,112,383,78,190,0
北京,2011-05-05,125,347,66,197,0
北京,2011-05-06,87,335,64,216,0
北京,2011-05-07,76,295,61,202,0
北京,2011-05-08,93,411,61,229,0
北京,2011-05-09,114,400,68,218,0
北京,2011-05-10,102,403,66,207,0
北京,2011-05-11,83,389,61,220,0
北京,2011-05-12,91,312,63,219,0
北京,2011-05-13,99,335,72,212,0
北京,2011-05-14,78,321,61,195,0
北京,2011-05-15,82,327,74,183,0
北京,2011-05-16,99,388,80,219,0
北京,2011-05-17,85,366,68,216,0
北京,2011-05-18,102,329,64,182,0
北京,2011-05-19,101,372,63,161,0
北京,2011-05-20,91,346,63,220,0
北京,2011-05-21,66,319,57,173,0
北京,2011-05-22,83,273,63,155,0
北京,2011-05-23,110,355,78,205,0
北京,2011-05-24,131,372,70,201,0
北京,2011-05-25,121,363,76,186,0
北京,2011-05-26,112,386,78,208,0
北京,2011-05-27,118,369,66,222,0
北京,2011-05-28,76,344,57,200,0
北京,2011-05-29,76,315,64,180,0
北京,2011-05-30,110,346,80,190,0
北京,2011-05-31,116,372,68,222,0
北京,2011-06-01,104,391,74,208,0
北京,2011-06-02,116,318,66,183,0
北京,2011-06-03,110,338,72,208,0
北京,2011-06-04,78,290,70,198,0
北京,2011-06-05,72,262,59,175,0
北京,2011-06-06,80,313,61,166,0
北京,2011-06-07,127,338,66,209,0
北京,2011-06-08,121,361,76,207,0
北京,2011-06-09,123,335,70,223,0
北京,2011-06-10,91,346,72,194,0
北京,2011-06-11,85,354,68,182,0
北京,2011-06-12,85,309,68,183,0
北京,2011-06-13,112,357,78,225,0
北京,2011-06-14,106,354,78,208,0
北京,2011-06-15,110,367,64,216,0
北京,2011-06-16,106,330,80,220,0
北京,2011-06-17,99,364,74,220,0
北京,2011-06-18,78,296,68,172,0
北京,2011-06-19,89,290,64,168,0
北京,2011-06-20,108,352,68,219,0
北京,2011-06-21,110,329,66,197,0
北京,2011-06-22,101,369,70,216,0
北京,2011-06-23,95,335,61,197,0
北京,2011-06-24,102,310,64,226,0
北京,2011-06-25,72,279,59,195,0
北京,2011-06-26,72,287,57,183,0
北京,2011-06-27,120,395,70,216,0
北京,2011-06-28,121,336,70,222,0
北京,2011-06-29,114,358,87,223,0
北京,2011-06-30,129,381,68,226,0
北京,2011-07-01,123,324,78,234,0
北京,2011-07-02,80,290,59,194,0
北京,2011-07-03,76,268,66,169,0
北京,2011-07-04,110,344,72,193,0
北京,2011-07-05,89,321,82,201,0
北京,2011-07-06,89,301,70,220,0
北京,2011-07-07,112,318,72,237,0
北京,2011-07-08,99,302,74,253,0
北京,2011-07-09,78,262,64,212,0
北京,2011-07-10,68,304,64,211,0
北京,2011-07-11,80,327,70,236,0
北京,2011-07-12,121,327,74,202,0
北京,2011-07-13,112,296,76,211,0
北京,2011-07-14,118,321,64,219,0
北京,2011-07-15,104,349,76,218,0
北京,2011-07-16,74,312,74,180,0
北京,2011-07-17,76,256,61,188,0
北京,2011-07-18,93,338,72,216,0
北京,2011-07-19,104,290,82,247,0
北京,2011-07-20,93,369,68,225,0
北京,2011-07-21,87,358,66,239,0
北京,2011-07-22,85,349,68,223,0
北京,2011-07-23,63,278,61,183,0
北京,2011-07-24,66,264,59,187,0
北京,2011-07-25,110,291,74,208,0
北京,2011-07-26,97,324,80,204,0
北京,2011-07-27,91,357,72,213,0
北京,2011-07-28,101,336,78,234,0
北京,2011-07-29,87,355,70,201,0
北京,2011-07-30,78,305,63,226,0
北京,2011-07-31,74,260,63,193,0
北京,2011-08-01,82,343,63,256,0
北京,2011-08-02,89,383,83,208,0
北京,2011-08-03,106,295,72,220,0
北京,2011-08-04,110,343,66,211,0
北京,2011-08-05,108,309,64,216,0
北京,2011-08-06,61,274,61,161,0
北京,2011-08-07,64,288,61,184,0
北京,2011-08-08,97,327,78,245,0
北京,2011-08-09,97,316,80,222,0
北京,2011-08-10,91,366,85,215,0
北京,2011-08-11,104,357,72,212,0
北京,2011-08-12,104,312,63,188,0
北京,2011-08-13,85,270,61,182,0
北京,2011-08-14,68,262,59,175,0
北京,2011-08-15,83,409,66,219,0
北京,2011-08-16,120,343,70,212,0
北京,2011-08-17,120,326,74,239,0
北京,2011-08-18,101,307,74,223,0
北京,2011-08-19,87,335,72,220,0
北京,2011-08-20,83,271,57,177,0
北京,2011-08-21,66,270,66,170,0
北京,2011-08-22,83,357,91,215,0
北京,2011-08-23,102,340,87,243,0
北京,2011-08-24,110,330,64,223,0
北京,2011-08-25,120,319,70,228,0
北京,2011-08-26,102,338,68,225,0
北京,2011-08-27,70,309,61,243,0
北京,2011-08-28,78,257,64,223,0
北京,2011-08-29,101,380,93,248,0
北京,2011-08-30,110,363,74,239,0
北京,2011-08-31,110,350,63,213,0
北京,2011-09-01,116,371,70,234,0
北京,2011-09-02,108,364,78,205,0
