area,time,移动支付,网上银行,电子银行,网银,互联网理财
天津,2011-01-01,59,208,59,116,0
天津,2011-01-02,57,208,63,114,0
天津,2011-01-03,57,222,61,99,0
天津,2011-01-04,64,242,0,106,0
天津,2011-01-05,61,207,74,104,0
天津,2011-01-06,0,204,61,123,0
天津,2011-01-07,57,188,59,104,0
天津,2011-01-08,66,207,57,135,0
天津,2011-01-09,57,208,61,116,0
天津,2011-01-10,63,193,0,116,0
天津,2011-01-11,61,197,57,104,0
天津,2011-01-12,57,205,61,101,0
天津,2011-01-13,63,193,61,102,0
天津,2011-01-14,59,201,57,112,0
天津,2011-01-15,61,213,63,110,0
天津,2011-01-16,61,190,57,114,0
天津,2011-01-17,59,195,61,116,0
天津,2011-01-18,57,186,59,125,0
天津,2011-01-19,61,187,63,142,0
天津,2011-01-20,63,208,61,123,0
天津,2011-01-21,59,177,0,118,0
天津,2011-01-22,59,179,57,123,0
天津,2011-01-23,59,194,61,114,0
天津,2011-01-24,57,173,61,110,0
天津,2011-01-25,61,223,61,118,0
天津,2011-01-26,61,176,66,112,0
天津,2011-01-27,68,198,59,106,0
天津,2011-01-28,0,172,57,108,0
天津,2011-01-29,59,198,57,101,0
天津,2011-01-30,61,191,57,114,0
天津,2011-01-31,61,168,59,110,0
天津,2011-02-01,64,165,57,112,0
天津,2011-02-02,64,165,0,93,0
天津,2011-02-03,61,154,57,85,0
天津,2011-02-04,59,123,57,76,0
天津,2011-02-05,57,154,0,91,0
天津,2011-02-06,59,142,57,104,0
天津,2011-02-07,59,142,57,91,0
天津,2011-02-08,61,162,57,93,0
天津,2011-02-09,59,191,63,114,0
天津,2011-02-10,70,184,0,108,0
天津,2011-02-11,63,207,0,121,0
天津,2011-02-12,0,194,64,133,0
天津,2011-02-13,63,201,57,99,0
天津,2011-02-14,64,169,61,120,0
天津,2011-02-15,0,213,59,118,0
天津,2011-02-16,64,218,57,154,0
天津,2011-02-17,59,215,0,137,0
天津,2011-02-18,63,195,61,144,0
天津,2011-02-19,64,191,0,112,0
天津,2011-02-20,59,194,63,125,0
天津,2011-02-21,61,204,59,137,0
天津,2011-02-22,64,200,59,127,0
天津,2011-02-23,61,211,61,139,0
天津,2011-02-24,59,225,59,129,0
天津,2011-02-25,66,204,64,120,0
天津,2011-02-26,61,191,61,112,0
天津,2011-02-27,70,211,59,110,0
天津,2011-02-28,72,228,0,114,0
天津,2011-03-01,63,247,59,110,0
天津,2011-03-02,70,233,63,106,0
天津,2011-03-03,66,218,61,121,0
天津,2011-03-04,64,223,59,110,0
天津,2011-03-05,74,233,57,135,0
天津,2011-03-06,61,201,0,144,0
天津,2011-03-07,57,220,61,110,0
天津,2011-03-08,59,208,57,106,0
天津,2011-03-09,68,179,66,106,0
天津,2011-03-10,61,219,57,102,0
天津,2011-03-11,64,184,57,112,0
天津,2011-03-12,64,190,59,112,0
天津,2011-03-13,61,191,61,121,0
天津,2011-03-14,64,194,63,137,0
天津,2011-03-15,66,220,57,120,0
天津,2011-03-16,66,183,66,106,0
天津,2011-03-17,64,239,63,104,0
天津,2011-03-18,64,207,59,120,0
天津,2011-03-19,61,205,63,127,0
天津,2011-03-20,64,197,59,125,0
天津,2011-03-21,61,219,63,118,0
天津,2011-03-22,63,183,64,108,0
天津,2011-03-23,61,215,57,108,0
天津,2011-03-24,68,182,63,104,0
天津,2011-03-25,59,193,61,121,0
天津,2011-03-26,61,208,0,135,0
天津,2011-03-27,59,200,0,112,0
天津,2011-03-28,68,215,61,120,0
天津,2011-03-29,64,184,64,87,0
天津,2011-03-30,66,200,61,95,0
天津,2011-03-31,63,213,59,87,0
天津,2011-04-01,63,259,59,131,0
天津,2011-04-02,63,209,63,127,0
天津,2011-04-03,61,188,57,123,0
天津,2011-04-04,61,184,61,133,0
天津,2011-04-05,66,183,64,82,0
天津,2011-04-06,66,198,66,106,0
天津,2011-04-07,61,183,61,114,0
天津,2011-04-08,57,234,61,91,0
天津,2011-04-09,61,213,66,121,0
天津,2011-04-10,64,187,61,112,0
天津,2011-04-11,63,215,57,112,0
天津,2011-04-12,64,195,57,110,0
天津,2011-04-13,68,198,59,137,0
天津,2011-04-14,63,180,64,106,0
天津,2011-04-15,64,208,63,131,0
天津,2011-04-16,61,195,59,108,0
天津,2011-04-17,61,208,57,112,0
天津,2011-04-18,66,204,61,118,0
