area,time,流计算,移动互联,第三方支付,在线支付,移动支付
广东,2011-01-01,0,0,64,59,59
广东,2011-01-02,0,57,72,57,64
广东,2011-01-03,0,59,87,64,70
广东,2011-01-04,0,59,91,64,76
广东,2011-01-05,0,64,83,61,63
广东,2011-01-06,0,66,82,59,63
广东,2011-01-07,0,61,66,57,74
广东,2011-01-08,0,57,68,70,61
广东,2011-01-09,0,57,64,74,64
广东,2011-01-10,0,66,70,64,70
广东,2011-01-11,0,64,83,70,66
广东,2011-01-12,0,59,74,61,72
广东,2011-01-13,0,0,74,61,66
广东,2011-01-14,0,59,97,61,66
广东,2011-01-15,0,59,68,59,59
广东,2011-01-16,0,0,66,64,66
广东,2011-01-17,0,61,82,57,68
广东,2011-01-18,0,61,104,61,61
广东,2011-01-19,0,68,83,57,63
广东,2011-01-20,0,63,95,68,72
广东,2011-01-21,0,59,80,59,70
广东,2011-01-22,0,57,66,63,59
广东,2011-01-23,0,57,64,59,66
广东,2011-01-24,0,57,97,61,64
广东,2011-01-25,0,59,80,64,64
广东,2011-01-26,0,61,91,63,61
广东,2011-01-27,0,57,95,57,70
广东,2011-01-28,0,68,72,57,70
广东,2011-01-29,0,0,61,57,61
广东,2011-01-30,0,0,72,59,66
广东,2011-01-31,0,61,66,0,66
广东,2011-02-01,0,0,61,57,70
广东,2011-02-02,0,0,59,0,57
广东,2011-02-03,0,59,61,57,61
广东,2011-02-04,0,57,66,0,57
广东,2011-02-05,0,0,0,0,61
广东,2011-02-06,0,0,61,59,63
广东,2011-02-07,0,0,61,59,61
广东,2011-02-08,0,59,63,63,59
广东,2011-02-09,0,59,85,0,64
广东,2011-02-10,0,57,76,59,70
广东,2011-02-11,0,72,78,63,68
广东,2011-02-12,0,63,83,66,64
广东,2011-02-13,0,59,64,61,59
广东,2011-02-14,0,63,85,72,68
广东,2011-02-15,0,57,83,64,80
广东,2011-02-16,0,64,80,64,68
广东,2011-02-17,57,63,99,61,70
广东,2011-02-18,0,0,89,66,66
广东,2011-02-19,0,59,63,61,68
广东,2011-02-20,0,61,80,63,61
广东,2011-02-21,0,61,93,72,76
广东,2011-02-22,0,0,87,64,97
广东,2011-02-23,0,78,102,63,93
广东,2011-02-24,0,68,76,64,68
广东,2011-02-25,0,61,80,63,68
广东,2011-02-26,0,0,72,66,64
广东,2011-02-27,0,61,76,59,76
广东,2011-02-28,0,61,85,61,70
广东,2011-03-01,0,0,76,68,85
广东,2011-03-02,0,63,82,63,83
广东,2011-03-03,0,61,76,64,64
广东,2011-03-04,0,63,85,61,72
广东,2011-03-05,0,57,68,63,70
广东,2011-03-06,0,64,76,61,64
广东,2011-03-07,0,66,87,66,72
广东,2011-03-08,0,57,95,72,89
广东,2011-03-09,0,59,87,63,76
广东,2011-03-10,0,61,85,64,70
广东,2011-03-11,0,63,78,59,66
广东,2011-03-12,0,61,74,61,61
广东,2011-03-13,0,0,70,57,61
广东,2011-03-14,0,63,87,74,76
广东,2011-03-15,0,59,97,61,82
广东,2011-03-16,0,63,87,63,64
广东,2011-03-17,0,66,76,59,66
广东,2011-03-18,0,0,85,59,80
广东,2011-03-19,0,0,68,59,63
广东,2011-03-20,0,57,76,61,70
广东,2011-03-21,0,59,82,66,66
广东,2011-03-22,0,66,108,64,68
广东,2011-03-23,0,64,80,61,61
广东,2011-03-24,59,64,80,63,72
广东,2011-03-25,0,59,108,72,64
广东,2011-03-26,0,57,72,64,66
广东,2011-03-27,0,57,63,76,78
广东,2011-03-28,0,0,101,63,80
广东,2011-03-29,0,57,85,64,64
广东,2011-03-30,0,68,102,59,66
广东,2011-03-31,0,59,139,59,76
广东,2011-04-01,0,59,76,59,64
广东,2011-04-02,0,68,78,66,72
广东,2011-04-03,0,57,64,63,63
广东,2011-04-04,0,59,64,61,61
广东,2011-04-05,0,59,68,59,64
广东,2011-04-06,0,57,108,61,70
广东,2011-04-07,0,57,78,57,78
广东,2011-04-08,0,68,101,57,85
广东,2011-04-09,0,59,64,59,70
广东,2011-04-10,0,57,64,64,70
广东,2011-04-11,0,57,99,61,68
