area,time,互联网保险,众筹,P2P,网贷
河北,2011-01-01,0,0,335,0
河北,2011-01-02,0,0,267,0
河北,2011-01-03,0,0,271,0
河北,2011-01-04,0,0,278,0
河北,2011-01-05,0,0,248,0
河北,2011-01-06,0,0,315,0
河北,2011-01-07,0,0,273,0
河北,2011-01-08,0,0,319,0
河北,2011-01-09,0,0,243,0
河北,2011-01-10,0,0,309,0
河北,2011-01-11,0,0,296,0
河北,2011-01-12,0,0,313,0
河北,2011-01-13,0,0,234,0
河北,2011-01-14,0,0,377,0
河北,2011-01-15,0,0,319,0
河北,2011-01-16,0,0,291,0
河北,2011-01-17,0,0,335,0
河北,2011-01-18,0,0,304,0
河北,2011-01-19,0,0,298,0
河北,2011-01-20,0,0,366,0
河北,2011-01-21,0,0,316,0
河北,2011-01-22,0,0,296,0
河北,2011-01-23,0,0,307,0
河北,2011-01-24,0,0,323,0
河北,2011-01-25,0,0,340,0
河北,2011-01-26,0,0,336,0
河北,2011-01-27,0,0,295,0
河北,2011-01-28,0,0,326,0
河北,2011-01-29,0,0,274,0
河北,2011-01-30,0,0,346,0
河北,2011-01-31,0,0,307,0
河北,2011-02-01,0,0,313,0
河北,2011-02-02,0,0,291,0
河北,2011-02-03,0,0,298,0
河北,2011-02-04,0,0,271,0
河北,2011-02-05,0,0,298,0
河北,2011-02-06,0,0,310,0
河北,2011-02-07,0,0,287,0
河北,2011-02-08,0,0,291,0
河北,2011-02-09,0,0,332,0
河北,2011-02-10,0,0,347,0
河北,2011-02-11,0,0,336,0
河北,2011-02-12,0,0,305,0
河北,2011-02-13,0,0,381,0
河北,2011-02-14,0,0,284,0
河北,2011-02-15,0,0,336,0
河北,2011-02-16,0,0,338,0
河北,2011-02-17,0,0,335,0
河北,2011-02-18,0,0,274,0
河北,2011-02-19,0,0,287,0
河北,2011-02-20,0,0,284,0
河北,2011-02-21,0,0,298,0
河北,2011-02-22,0,0,316,0
河北,2011-02-23,0,0,321,0
河北,2011-02-24,0,0,288,0
河北,2011-02-25,0,0,343,0
河北,2011-02-26,0,0,354,0
河北,2011-02-27,0,0,386,0
河北,2011-02-28,0,0,366,0
河北,2011-03-01,0,0,343,0
河北,2011-03-02,0,0,327,0
河北,2011-03-03,0,0,316,0
河北,2011-03-04,0,0,307,0
河北,2011-03-05,0,0,341,0
河北,2011-03-06,0,0,301,0
河北,2011-03-07,0,0,360,0
河北,2011-03-08,0,0,274,0
河北,2011-03-09,0,0,298,0
河北,2011-03-10,0,0,318,0
河北,2011-03-11,0,0,323,0
河北,2011-03-12,0,0,307,0
河北,2011-03-13,0,0,321,0
河北,2011-03-14,0,0,299,0
河北,2011-03-15,0,0,318,0
河北,2011-03-16,0,0,273,0
河北,2011-03-17,0,0,301,0
河北,2011-03-18,0,0,349,0
河北,2011-03-19,0,0,340,0
河北,2011-03-20,0,0,279,0
河北,2011-03-21,0,0,324,0
河北,2011-03-22,0,0,298,0
河北,2011-03-23,0,0,285,0
河北,2011-03-24,0,0,307,0
河北,2011-03-25,0,0,299,0
河北,2011-03-26,0,0,298,0
河北,2011-03-27,0,0,307,0
河北,2011-03-28,0,0,313,0
河北,2011-03-29,0,0,333,0
河北,2011-03-30,0,0,323,0
河北,2011-03-31,0,0,346,0
河北,2011-04-01,0,0,361,0
河北,2011-04-02,0,0,347,0
河北,2011-04-03,0,0,273,0
河北,2011-04-04,0,0,344,0
河北,2011-04-05,0,0,290,0
河北,2011-04-06,0,0,296,0
河北,2011-04-07,0,0,335,0
河北,2011-04-08,0,0,278,0
河北,2011-04-09,0,0,285,0
河北,2011-04-10,0,0,299,0
河北,2011-04-11,0,0,312,0
河北,2011-04-12,0,0,316,0
河北,2011-04-13,0,0,291,0
河北,2011-04-14,0,0,281,0
河北,2011-04-15,0,0,323,0
河北,2011-04-16,0,0,355,0
河北,2011-04-17,0,0,340,0
河北,2011-04-18,0,0,287,0
河北,2011-04-19,0,0,271,0
河北,2011-04-20,0,0,257,0
河北,2011-04-21,0,0,372,0
河北,2011-04-22,0,0,340,0
河北,2011-04-23,0,0,343,0
河北,2011-04-24,0,0,287,0
河北,2011-04-25,0,0,312,0
河北,2011-04-26,0,0,336,0
河北,2011-04-27,0,0,274,0
河北,2011-04-28,0,0,329,0
河北,2011-04-29,0,0,350,0
河北,2011-04-30,0,0,354,0
河北,2011-05-01,0,0,287,0
河北,2011-05-02,0,0,296,0
河北,2011-05-03,0,0,276,0
河北,2011-05-04,0,0,343,0
河北,2011-05-05,0,0,323,0
河北,2011-05-06,0,0,319,0
河北,2011-05-07,0,0,336,0
河北,2011-05-08,0,0,357,0
河北,2011-05-09,0,0,380,0
河北,2011-05-10,0,0,336,0
河北,2011-05-11,0,0,316,0
河北,2011-05-12,0,0,338,0
河北,2011-05-13,0,0,299,0
河北,2011-05-14,0,0,273,0
河北,2011-05-15,0,0,285,0
河北,2011-05-16,0,0,287,0
河北,2011-05-17,0,0,267,0
河北,2011-05-18,0,0,316,0
河北,2011-05-19,0,0,371,0
河北,2011-05-20,0,0,355,0
河北,2011-05-21,0,0,357,0
河北,2011-05-22,0,0,340,0
河北,2011-05-23,0,0,329,0
河北,2011-05-24,0,0,288,0
河北,2011-05-25,0,0,318,0
河北,2011-05-26,0,0,319,0
河北,2011-05-27,0,0,318,0
河北,2011-05-28,0,0,312,0
河北,2011-05-29,0,0,307,0
河北,2011-05-30,0,0,301,0
河北,2011-05-31,0,0,346,0
河北,2011-06-01,0,0,295,0
河北,2011-06-02,0,0,316,0
河北,2011-06-03,0,0,299,0
河北,2011-06-04,0,0,302,0
河北,2011-06-05,0,0,341,0
河北,2011-06-06,0,0,310,0
