area,time,网上银行,电子银行,网银,众筹,P2P
河北,2011-01-01,473,66,158,0,335
河北,2011-01-02,476,64,169,0,267
河北,2011-01-03,470,63,168,0,271
河北,2011-01-04,487,70,186,0,278
河北,2011-01-05,498,63,182,0,248
河北,2011-01-06,470,66,179,0,315
河北,2011-01-07,430,61,154,0,273
河北,2011-01-08,434,57,188,0,319
河北,2011-01-09,412,64,163,0,243
河北,2011-01-10,524,59,177,0,309
河北,2011-01-11,485,70,161,0,296
河北,2011-01-12,484,66,202,0,313
河北,2011-01-13,383,68,169,0,234
河北,2011-01-14,385,68,213,0,377
河北,2011-01-15,426,59,188,0,319
河北,2011-01-16,374,57,190,0,291
河北,2011-01-17,487,66,194,0,335
河北,2011-01-18,465,66,165,0,304
河北,2011-01-19,464,63,179,0,298
河北,2011-01-20,464,64,198,0,366
河北,2011-01-21,487,72,173,0,316
河北,2011-01-22,411,59,177,0,296
河北,2011-01-23,360,61,148,0,307
河北,2011-01-24,478,59,186,0,323
河北,2011-01-25,408,66,191,0,340
河北,2011-01-26,434,59,161,0,336
河北,2011-01-27,380,78,200,0,295
河北,2011-01-28,496,63,170,0,326
河北,2011-01-29,422,61,152,0,274
河北,2011-01-30,443,64,170,0,346
河北,2011-01-31,409,61,176,0,307
河北,2011-02-01,389,63,172,0,313
河北,2011-02-02,419,59,177,0,291
河北,2011-02-03,313,0,135,0,298
河北,2011-02-04,347,59,159,0,271
河北,2011-02-05,338,59,158,0,298
河北,2011-02-06,326,57,165,0,310
河北,2011-02-07,411,63,177,0,287
河北,2011-02-08,425,68,175,0,291
河北,2011-02-09,414,59,191,0,332
河北,2011-02-10,481,63,182,0,347
河北,2011-02-11,476,64,187,0,336
河北,2011-02-12,419,63,190,0,305
河北,2011-02-13,428,74,172,0,381
河北,2011-02-14,464,64,194,0,284
河北,2011-02-15,498,63,183,0,336
河北,2011-02-16,482,64,193,0,338
河北,2011-02-17,485,61,187,0,335
河北,2011-02-18,433,61,198,0,274
河北,2011-02-19,471,66,204,0,287
河北,2011-02-20,428,59,182,0,284
河北,2011-02-21,462,57,176,0,298
河北,2011-02-22,467,57,186,0,316
河北,2011-02-23,496,59,180,0,321
河北,2011-02-24,502,61,186,0,288
河北,2011-02-25,488,74,180,0,343
河北,2011-02-26,467,68,191,0,354
河北,2011-02-27,456,61,208,0,386
河北,2011-02-28,490,70,201,0,366
河北,2011-03-01,470,63,176,0,343
河北,2011-03-02,504,68,170,0,327
河北,2011-03-03,488,64,179,0,316
河北,2011-03-04,554,72,191,0,307
河北,2011-03-05,532,61,184,0,341
河北,2011-03-06,524,59,194,0,301
河北,2011-03-07,498,59,188,0,360
河北,2011-03-08,518,66,176,0,274
河北,2011-03-09,504,80,186,0,298
河北,2011-03-10,479,66,175,0,318
河北,2011-03-11,473,70,184,0,323
河北,2011-03-12,443,87,216,0,307
河北,2011-03-13,476,66,207,0,321
河北,2011-03-14,557,70,177,0,299
河北,2011-03-15,603,66,175,0,318
河北,2011-03-16,571,66,191,0,273
河北,2011-03-17,453,59,197,0,301
河北,2011-03-18,577,64,213,0,349
河北,2011-03-19,447,72,201,0,340
河北,2011-03-20,510,63,226,0,279
河北,2011-03-21,527,68,204,0,324
河北,2011-03-22,484,63,193,0,298
河北,2011-03-23,506,64,172,0,285
河北,2011-03-24,484,61,233,0,307
河北,2011-03-25,493,64,190,0,299
河北,2011-03-26,493,63,188,0,298
河北,2011-03-27,487,57,173,0,307
河北,2011-03-28,493,59,186,0,313
河北,2011-03-29,479,68,180,0,333
河北,2011-03-30,440,64,183,0,323
河北,2011-03-31,568,64,188,0,346
河北,2011-04-01,526,64,200,0,361
河北,2011-04-02,527,64,155,0,347
河北,2011-04-03,443,59,182,0,273
河北,2011-04-04,521,61,202,0,344
河北,2011-04-05,512,64,194,0,290
河北,2011-04-06,509,74,186,0,296
