area,time,移动支付,网上银行,电子银行,网银,互联网理财
河北,2011-01-01,61,473,66,158,0
河北,2011-01-02,0,476,64,169,0
河北,2011-01-03,61,470,63,168,0
河北,2011-01-04,63,487,70,186,0
河北,2011-01-05,63,498,63,182,0
河北,2011-01-06,0,470,66,179,0
河北,2011-01-07,0,430,61,154,0
河北,2011-01-08,61,434,57,188,0
河北,2011-01-09,57,412,64,163,0
河北,2011-01-10,63,524,59,177,0
河北,2011-01-11,0,485,70,161,0
河北,2011-01-12,57,484,66,202,0
河北,2011-01-13,63,383,68,169,0
河北,2011-01-14,0,385,68,213,0
河北,2011-01-15,57,426,59,188,0
河北,2011-01-16,57,374,57,190,0
河北,2011-01-17,0,487,66,194,0
河北,2011-01-18,0,465,66,165,0
河北,2011-01-19,57,464,63,179,0
河北,2011-01-20,61,464,64,198,0
河北,2011-01-21,59,487,72,173,0
河北,2011-01-22,57,411,59,177,0
河北,2011-01-23,57,360,61,148,0
河北,2011-01-24,57,478,59,186,0
河北,2011-01-25,57,408,66,191,0
河北,2011-01-26,0,434,59,161,0
河北,2011-01-27,0,380,78,200,0
河北,2011-01-28,57,496,63,170,0
河北,2011-01-29,59,422,61,152,0
河北,2011-01-30,63,443,64,170,0
河北,2011-01-31,61,409,61,176,0
河北,2011-02-01,59,389,63,172,0
河北,2011-02-02,66,419,59,177,0
河北,2011-02-03,0,313,0,135,0
河北,2011-02-04,0,347,59,159,0
河北,2011-02-05,0,338,59,158,0
河北,2011-02-06,57,326,57,165,0
河北,2011-02-07,0,411,63,177,0
河北,2011-02-08,59,425,68,175,0
河北,2011-02-09,57,414,59,191,0
河北,2011-02-10,0,481,63,182,0
河北,2011-02-11,57,476,64,187,0
河北,2011-02-12,66,419,63,190,0
河北,2011-02-13,64,428,74,172,0
河北,2011-02-14,61,464,64,194,0
河北,2011-02-15,59,498,63,183,0
河北,2011-02-16,59,482,64,193,0
河北,2011-02-17,0,485,61,187,0
河北,2011-02-18,0,433,61,198,0
河北,2011-02-19,57,471,66,204,0
河北,2011-02-20,59,428,59,182,0
河北,2011-02-21,0,462,57,176,0
河北,2011-02-22,57,467,57,186,0
河北,2011-02-23,59,496,59,180,0
河北,2011-02-24,63,502,61,186,0
河北,2011-02-25,57,488,74,180,0
河北,2011-02-26,59,467,68,191,0
河北,2011-02-27,57,456,61,208,0
河北,2011-02-28,57,490,70,201,0
河北,2011-03-01,63,470,63,176,0
河北,2011-03-02,61,504,68,170,0
河北,2011-03-03,57,488,64,179,0
河北,2011-03-04,63,554,72,191,0
河北,2011-03-05,57,532,61,184,0
河北,2011-03-06,59,524,59,194,0
河北,2011-03-07,0,498,59,188,0
河北,2011-03-08,61,518,66,176,0
河北,2011-03-09,0,504,80,186,0
河北,2011-03-10,78,479,66,175,0
河北,2011-03-11,0,473,70,184,0
河北,2011-03-12,63,443,87,216,0
河北,2011-03-13,59,476,66,207,0
河北,2011-03-14,0,557,70,177,0
河北,2011-03-15,59,603,66,175,0
河北,2011-03-16,61,571,66,191,0
河北,2011-03-17,57,453,59,197,0
河北,2011-03-18,61,577,64,213,0
河北,2011-03-19,57,447,72,201,0
河北,2011-03-20,59,510,63,226,0
河北,2011-03-21,61,527,68,204,0
河北,2011-03-22,59,484,63,193,0
河北,2011-03-23,68,506,64,172,0
河北,2011-03-24,59,484,61,233,0
河北,2011-03-25,63,493,64,190,0
河北,2011-03-26,0,493,63,188,0
河北,2011-03-27,59,487,57,173,0
河北,2011-03-28,61,493,59,186,0
河北,2011-03-29,0,479,68,180,0
河北,2011-03-30,59,440,64,183,0
河北,2011-03-31,59,568,64,188,0
河北,2011-04-01,63,526,64,200,0
河北,2011-04-02,0,527,64,155,0
河北,2011-04-03,0,443,59,182,0
河北,2011-04-04,57,521,61,202,0
河北,2011-04-05,64,512,64,194,0
河北,2011-04-06,0,509,74,186,0
河北,2011-04-07,64,431,61,204,0
河北,2011-04-08,59,475,61,184,0
河北,2011-04-09,57,440,59,165,0
河北,2011-04-10,57,475,72,183,0
河北,2011-04-11,57,558,59,166,0
河北,2011-04-12,57,498,61,187,0
河北,2011-04-13,0,411,68,193,0
河北,2011-04-14,57,430,70,165,0
河北,2011-04-15,59,552,59,195,0
河北,2011-04-16,59,468,63,213,0
河北,2011-04-17,57,473,68,186,0
河北,2011-04-18,57,490,63,191,0
河北,2011-04-19,57,521,66,195,0
河北,2011-04-20,59,475,63,218,0
河北,2011-04-21,57,470,66,211,0
河北,2011-04-22,61,507,61,197,0
河北,2011-04-23,63,499,59,200,0
河北,2011-04-24,59,485,68,187,0
河北,2011-04-25,64,478,59,194,0
河北,2011-04-26,61,535,59,200,0
河北,2011-04-27,57,459,63,186,0
河北,2011-04-28,63,493,57,176,0
河北,2011-04-29,57,499,64,220,0
河北,2011-04-30,59,498,59,239,0
河北,2011-05-01,57,450,64,218,0
河北,2011-05-02,57,464,59,183,0
河北,2011-05-03,59,513,63,211,0
河北,2011-05-04,57,544,64,207,0
河北,2011-05-05,57,464,64,195,0
河北,2011-05-06,63,454,64,173,0
河北,2011-05-07,57,478,72,188,0
河北,2011-05-08,57,461,66,187,0
河北,2011-05-09,57,464,91,183,0
河北,2011-05-10,59,450,63,173,0
河北,2011-05-11,0,475,82,163,0
河北,2011-05-12,57,487,64,177,0
河北,2011-05-13,63,513,68,188,0
河北,2011-05-14,63,445,70,190,0
河北,2011-05-15,61,471,61,180,0
河北,2011-05-16,59,529,61,175,0
河北,2011-05-17,61,492,63,197,0
河北,2011-05-18,59,450,63,176,0
河北,2011-05-19,127,488,63,195,0
河北,2011-05-20,66,529,61,202,0
河北,2011-05-21,57,515,70,198,0
河北,2011-05-22,0,510,70,186,0
河北,2011-05-23,59,532,61,188,0
河北,2011-05-24,57,485,68,163,0
河北,2011-05-25,57,490,64,170,0
河北,2011-05-26,61,524,64,202,0
河北,2011-05-27,61,478,64,172,0
河北,2011-05-28,0,450,66,194,0
河北,2011-05-29,63,428,63,204,0
河北,2011-05-30,57,454,63,208,0
河北,2011-05-31,57,527,72,191,0
河北,2011-06-01,70,488,59,215,0
河北,2011-06-02,59,560,76,177,0
河北,2011-06-03,57,496,63,213,0
河北,2011-06-04,57,575,61,182,0
河北,2011-06-05,61,454,57,197,0
河北,2011-06-06,63,492,66,186,0
河北,2011-06-07,66,464,63,198,0
河北,2011-06-08,64,471,63,186,0
河北,2011-06-09,0,498,76,179,0
河北,2011-06-10,57,461,64,207,0
河北,2011-06-11,0,484,63,176,0
河北,2011-06-12,0,454,63,165,0
河北,2011-06-13,61,529,59,166,0
河北,2011-06-14,61,526,70,168,0
河北,2011-06-15,57,530,80,225,0
河北,2011-06-16,57,476,76,169,0
河北,2011-06-17,0,478,61,170,0
河北,2011-06-18,59,471,64,176,0
河北,2011-06-19,63,425,61,182,0
河北,2011-06-20,59,518,59,193,0
河北,2011-06-21,61,502,59,229,0
河北,2011-06-22,57,499,61,191,0
河北,2011-06-23,68,419,59,177,0
河北,2011-06-24,59,501,66,188,0
河北,2011-06-25,59,450,61,202,0
河北,2011-06-26,59,420,59,162,0
河北,2011-06-27,59,464,59,190,0
河北,2011-06-28,59,475,64,194,0
河北,2011-06-29,64,420,72,208,0
河北,2011-06-30,63,552,66,207,0
河北,2011-07-01,63,485,66,239,0
河北,2011-07-02,63,530,68,194,0
河北,2011-07-03,59,443,63,182,0
河北,2011-07-04,57,518,66,282,0
河北,2011-07-05,61,459,74,193,0
河北,2011-07-06,0,496,68,202,0
河北,2011-07-07,59,448,64,242,0
河北,2011-07-08,63,437,64,215,0
河北,2011-07-09,57,423,59,212,0
河北,2011-07-10,57,426,66,187,0
河北,2011-07-11,0,456,63,205,0
河北,2011-07-12,57,433,64,234,0
河北,2011-07-13,57,479,59,205,0
河北,2011-07-14,57,496,63,197,0
河北,2011-07-15,0,481,70,176,0
河北,2011-07-16,57,457,61,205,0
河北,2011-07-17,57,453,0,215,0
河北,2011-07-18,57,465,66,248,0
河北,2011-07-19,0,451,72,200,0
河北,2011-07-20,57,471,61,204,0
河北,2011-07-21,59,495,64,193,0
河北,2011-07-22,59,484,66,243,0
河北,2011-07-23,61,453,57,193,0
河北,2011-07-24,63,409,59,179,0
河北,2011-07-25,61,524,70,223,0
河北,2011-07-26,0,473,63,195,0
河北,2011-07-27,64,470,68,236,0
河北,2011-07-28,57,478,70,236,0
河北,2011-07-29,59,523,74,222,0
河北,2011-07-30,57,453,64,202,0
河北,2011-07-31,0,473,66,204,0
河北,2011-08-01,63,566,64,222,0
河北,2011-08-02,59,529,63,222,0
河北,2011-08-03,61,549,66,228,0
河北,2011-08-04,59,498,68,201,0
河北,2011-08-05,59,630,66,222,0
河北,2011-08-06,57,462,57,188,0
河北,2011-08-07,57,475,57,212,0
河北,2011-08-08,0,493,74,211,0
河北,2011-08-09,61,473,66,208,0
河北,2011-08-10,59,523,63,213,0
河北,2011-08-11,57,437,63,225,0
河北,2011-08-12,57,478,59,198,0
河北,2011-08-13,57,462,66,165,0
河北,2011-08-14,57,451,64,193,0
河北,2011-08-15,0,471,59,187,0
河北,2011-08-16,61,509,63,259,0
河北,2011-08-17,0,492,64,226,0
河北,2011-08-18,61,518,61,211,0
河北,2011-08-19,64,487,64,202,0
河北,2011-08-20,59,445,59,195,0
河北,2011-08-21,61,406,64,191,0
河北,2011-08-22,0,482,72,204,0
河北,2011-08-23,59,519,68,194,0
河北,2011-08-24,59,495,68,220,0
河北,2011-08-25,57,572,70,228,0
河北,2011-08-26,59,509,70,212,0
河北,2011-08-27,57,475,0,209,0
河北,2011-08-28,57,459,70,183,0
河北,2011-08-29,66,478,63,197,0
河北,2011-08-30,0,509,64,213,0
河北,2011-08-31,59,492,63,260,0
河北,2011-09-01,63,509,72,220,0
河北,2011-09-02,68,488,70,208,0
河北,2011-09-03,61,454,64,254,0
河北,2011-09-04,57,499,68,202,0
河北,2011-09-05,59,470,70,208,0
河北,2011-09-06,59,482,57,207,0
河北,2011-09-07,64,430,66,207,0
河北,2011-09-08,59,484,66,194,0
河北,2011-09-09,61,513,72,195,0
河北,2011-09-10,57,437,66,225,0
河北,2011-09-11,66,389,64,198,0
河北,2011-09-12,57,518,59,198,0
河北,2011-09-13,61,577,70,207,0
河北,2011-09-14,59,476,68,195,0
河北,2011-09-15,0,506,70,191,0
河北,2011-09-16,59,509,63,233,0
河北,2011-09-17,57,543,59,226,0
河北,2011-09-18,57,518,59,200,0
河北,2011-09-19,0,523,61,240,0
河北,2011-09-20,66,543,66,243,0
河北,2011-09-21,59,595,78,257,0
河北,2011-09-22,57,591,66,248,0
河北,2011-09-23,66,555,68,231,0
河北,2011-09-24,63,554,68,240,0
河北,2011-09-25,66,558,59,209,0
河北,2011-09-26,59,527,61,226,0
河北,2011-09-27,57,599,59,216,0
河北,2011-09-28,66,482,70,208,0
河北,2011-09-29,61,558,61,251,0
河北,2011-09-30,64,620,66,233,0
河北,2011-10-01,64,462,63,234,0
河北,2011-10-02,57,453,66,220,0
河北,2011-10-03,0,456,63,213,0
河北,2011-10-04,68,499,0,219,0
河北,2011-10-05,61,476,72,209,0
河北,2011-10-06,59,485,64,205,0
河北,2011-10-07,61,527,64,219,0
河北,2011-10-08,57,509,63,170,0
河北,2011-10-09,59,571,74,202,0
河北,2011-10-10,57,541,74,202,0
河北,2011-10-11,61,506,63,209,0
河北,2011-10-12,64,551,64,205,0
河北,2011-10-13,0,541,61,202,0
河北,2011-10-14,57,541,66,209,0
河北,2011-10-15,57,495,64,213,0
河北,2011-10-16,59,487,57,207,0
河北,2011-10-17,72,585,64,200,0
河北,2011-10-18,61,560,74,212,0
河北,2011-10-19,59,597,76,202,0
河北,2011-10-20,63,558,72,188,0
河北,2011-10-21,57,558,68,198,0
河北,2011-10-22,59,530,64,219,0
河北,2011-10-23,0,555,70,188,0
河北,2011-10-24,57,554,76,201,0
河北,2011-10-25,57,521,64,236,0
河北,2011-10-26,63,529,78,197,0
河北,2011-10-27,59,549,70,197,0
河北,2011-10-28,64,648,63,193,0
河北,2011-10-29,61,558,68,197,0
河北,2011-10-30,59,627,70,213,0
河北,2011-10-31,61,627,70,211,0
河北,2011-11-01,57,630,74,231,0
河北,2011-11-02,57,653,72,212,0
河北,2011-11-03,61,614,63,218,0
河北,2011-11-04,57,651,66,242,0
河北,2011-11-05,61,623,72,288,0
河北,2011-11-06,61,541,66,193,0
河北,2011-11-07,57,613,70,212,0
河北,2011-11-08,57,599,72,194,0
河北,2011-11-09,59,551,70,209,0
河北,2011-11-10,63,628,66,213,0
河北,2011-11-11,61,712,76,239,0
河北,2011-11-12,59,547,64,211,0
河北,2011-11-13,61,555,64,234,0
河北,2011-11-14,64,564,68,190,0
河北,2011-11-15,59,569,76,218,0
河北,2011-11-16,59,572,63,228,0
河北,2011-11-17,64,627,63,234,0
河北,2011-11-18,64,578,61,233,0
河北,2011-11-19,57,575,72,220,0
河北,2011-11-20,63,478,64,220,0
河北,2011-11-21,59,572,70,218,0
河北,2011-11-22,0,552,59,188,0
河北,2011-11-23,57,533,63,201,0
河北,2011-11-24,59,558,68,186,0
河北,2011-11-25,57,530,61,201,0
河北,2011-11-26,63,549,72,222,0
河北,2011-11-27,59,594,68,236,0
河北,2011-11-28,70,501,64,188,0
河北,2011-11-29,64,608,59,207,0
河北,2011-11-30,64,620,63,213,0
河北,2011-12-01,66,665,74,212,0
河北,2011-12-02,63,594,59,212,0
河北,2011-12-03,61,484,66,257,0
河北,2011-12-04,63,611,64,242,0
河北,2011-12-05,61,628,63,253,0
河北,2011-12-06,59,532,74,219,0
河北,2011-12-07,63,578,76,240,0
河北,2011-12-08,61,574,61,240,0
河北,2011-12-09,64,524,66,240,0
河北,2011-12-10,61,535,59,201,0
河北,2011-12-11,63,527,64,225,0
河北,2011-12-12,63,527,64,225,0
河北,2011-12-13,63,485,63,216,0
河北,2011-12-14,57,442,63,194,0
河北,2011-12-15,59,471,70,211,0
河北,2011-12-16,61,502,66,191,0
河北,2011-12-17,63,464,66,237,0
河北,2011-12-18,72,454,66,243,0
河北,2011-12-19,63,516,0,248,0
河北,2011-12-20,61,453,61,213,0
河北,2011-12-21,57,504,61,222,0
河北,2011-12-22,64,454,68,253,0
河北,2011-12-23,57,521,70,257,0
河北,2011-12-24,68,457,63,228,0
河北,2011-12-25,57,468,63,211,0
河北,2011-12-26,63,459,63,250,0
河北,2011-12-27,61,445,66,247,0
河北,2011-12-28,64,462,63,216,0
河北,2011-12-29,0,464,74,213,0
河北,2011-12-30,63,523,70,254,0
河北,2011-12-31,59,498,64,247,0
河北,2012-01-01,66,506,63,259,0
河北,2012-01-02,70,512,66,240,0
河北,2012-01-03,66,445,72,216,0
河北,2012-01-04,61,580,59,268,0
河北,2012-01-05,64,510,63,229,0
河北,2012-01-06,64,476,63,248,0
河北,2012-01-07,66,467,64,229,0
河北,2012-01-08,66,527,63,211,0
河北,2012-01-09,64,453,64,251,0
河北,2012-01-10,66,487,63,231,0
河北,2012-01-11,70,507,61,228,0
河北,2012-01-12,59,465,64,226,0
河北,2012-01-13,63,485,68,219,0
河北,2012-01-14,61,430,59,215,0
河北,2012-01-15,57,461,61,250,0
河北,2012-01-16,66,506,59,237,0
河北,2012-01-17,59,473,61,264,0
河北,2012-01-18,59,498,66,236,0
河北,2012-01-19,64,459,61,216,0
河北,2012-01-20,63,473,64,215,0
河北,2012-01-21,68,417,61,229,0
河北,2012-01-22,66,371,59,194,0
河北,2012-01-23,59,388,0,225,0
河北,2012-01-24,0,344,57,198,0
河北,2012-01-25,63,323,57,177,0
河北,2012-01-26,63,310,0,190,0
河北,2012-01-27,57,361,59,248,0
河北,2012-01-28,59,363,64,190,0
河北,2012-01-29,59,459,59,220,0
