area,time,流计算,移动互联,第三方支付,在线支付,移动支付
湖南,2011-01-01,0,0,59,0,0
湖南,2011-01-02,0,0,57,57,0
湖南,2011-01-03,0,57,57,59,59
湖南,2011-01-04,0,0,61,0,61
湖南,2011-01-05,0,0,66,0,59
湖南,2011-01-06,0,0,61,0,57
湖南,2011-01-07,0,0,68,0,0
湖南,2011-01-08,0,0,57,0,57
湖南,2011-01-09,0,0,57,0,57
湖南,2011-01-10,0,0,59,57,57
湖南,2011-01-11,0,0,63,0,61
湖南,2011-01-12,0,0,61,0,63
湖南,2011-01-13,0,0,61,0,59
湖南,2011-01-14,0,0,66,59,57
湖南,2011-01-15,0,0,61,0,0
湖南,2011-01-16,0,0,59,0,61
湖南,2011-01-17,0,0,59,57,59
湖南,2011-01-18,0,0,63,57,59
湖南,2011-01-19,0,0,57,59,57
湖南,2011-01-20,0,57,63,61,59
湖南,2011-01-21,0,0,66,57,63
湖南,2011-01-22,0,0,57,0,57
湖南,2011-01-23,0,0,0,0,59
湖南,2011-01-24,0,0,61,0,0
湖南,2011-01-25,0,0,59,59,59
湖南,2011-01-26,0,0,63,59,57
湖南,2011-01-27,0,0,61,0,59
湖南,2011-01-28,0,57,57,0,0
湖南,2011-01-29,0,0,61,0,57
湖南,2011-01-30,0,57,57,0,61
湖南,2011-01-31,0,0,59,0,0
湖南,2011-02-01,0,57,0,57,57
湖南,2011-02-02,0,0,0,0,57
湖南,2011-02-03,0,0,0,0,57
湖南,2011-02-04,0,0,0,0,0
湖南,2011-02-05,0,0,59,59,0
湖南,2011-02-06,0,0,57,64,57
湖南,2011-02-07,0,0,61,0,0
湖南,2011-02-08,0,0,57,0,59
湖南,2011-02-09,0,0,61,0,0
湖南,2011-02-10,0,0,57,0,63
湖南,2011-02-11,0,0,66,57,63
湖南,2011-02-12,0,57,61,0,57
湖南,2011-02-13,0,0,57,0,0
湖南,2011-02-14,0,0,64,0,61
湖南,2011-02-15,0,59,59,0,61
湖南,2011-02-16,0,0,0,0,59
湖南,2011-02-17,0,57,63,0,57
湖南,2011-02-18,0,0,66,0,57
湖南,2011-02-19,0,0,63,0,0
湖南,2011-02-20,0,57,61,57,57
湖南,2011-02-21,0,57,61,57,57
湖南,2011-02-22,0,0,66,61,63
湖南,2011-02-23,0,59,57,0,61
湖南,2011-02-24,0,0,61,57,63
湖南,2011-02-25,0,0,61,0,61
湖南,2011-02-26,0,0,0,59,61
湖南,2011-02-27,0,0,0,0,61
湖南,2011-02-28,0,57,63,0,68
湖南,2011-03-01,0,59,61,0,57
湖南,2011-03-02,0,0,0,59,0
湖南,2011-03-03,0,57,61,57,68
湖南,2011-03-04,0,0,63,57,61
湖南,2011-03-05,0,0,57,0,57
湖南,2011-03-06,0,0,57,0,59
湖南,2011-03-07,0,57,59,57,59
湖南,2011-03-08,0,0,59,0,0
湖南,2011-03-09,0,57,61,57,61
湖南,2011-03-10,0,0,63,0,66
湖南,2011-03-11,0,0,61,57,59
湖南,2011-03-12,0,0,59,0,57
湖南,2011-03-13,0,0,61,0,59
湖南,2011-03-14,0,0,66,0,61
湖南,2011-03-15,0,0,68,59,63
湖南,2011-03-16,0,0,0,59,64
湖南,2011-03-17,0,0,61,57,66
湖南,2011-03-18,0,59,61,0,59
湖南,2011-03-19,0,0,59,59,59
湖南,2011-03-20,0,0,59,57,61
湖南,2011-03-21,0,0,64,0,61
湖南,2011-03-22,0,0,57,0,57
湖南,2011-03-23,0,0,66,0,63
湖南,2011-03-24,0,0,64,57,59
湖南,2011-03-25,0,0,66,59,0
湖南,2011-03-26,0,0,0,57,59
湖南,2011-03-27,0,0,66,57,57
湖南,2011-03-28,0,0,63,0,61
湖南,2011-03-29,0,0,64,0,57
湖南,2011-03-30,0,0,83,59,63
湖南,2011-03-31,0,0,102,0,64
湖南,2011-04-01,0,0,74,0,61
湖南,2011-04-02,0,0,80,57,64
湖南,2011-04-03,0,0,59,57,57
湖南,2011-04-04,0,0,64,0,57
湖南,2011-04-05,0,0,57,0,59
湖南,2011-04-06,0,57,61,59,66
湖南,2011-04-07,0,0,59,59,0
湖南,2011-04-08,0,59,63,0,59
湖南,2011-04-09,0,0,66,57,57
湖南,2011-04-10,0,0,64,57,0
