area,time,手机银行,精准营销,电子商务,在线理财,网联
河北,2011-01-01,66,57,135,0,0
河北,2011-01-02,78,59,148,0,0
河北,2011-01-03,64,0,161,0,0
河北,2011-01-04,68,59,182,0,0
河北,2011-01-05,70,59,172,57,0
河北,2011-01-06,72,0,165,0,57
河北,2011-01-07,66,57,169,0,61
河北,2011-01-08,82,59,166,0,59
河北,2011-01-09,66,0,165,0,0
河北,2011-01-10,72,57,183,0,0
河北,2011-01-11,66,59,175,0,57
河北,2011-01-12,72,57,139,59,61
河北,2011-01-13,66,63,172,59,57
河北,2011-01-14,66,0,137,57,57
河北,2011-01-15,70,59,125,0,0
河北,2011-01-16,68,57,123,57,0
河北,2011-01-17,64,57,135,59,57
河北,2011-01-18,68,59,139,0,0
河北,2011-01-19,64,0,121,0,0
河北,2011-01-20,80,57,123,57,0
河北,2011-01-21,64,59,110,57,0
河北,2011-01-22,70,57,97,0,0
河北,2011-01-23,74,59,101,0,0
河北,2011-01-24,76,61,120,0,57
河北,2011-01-25,82,59,118,0,57
河北,2011-01-26,63,59,118,0,0
河北,2011-01-27,74,0,108,0,0
河北,2011-01-28,70,63,112,0,0
河北,2011-01-29,63,61,112,0,0
河北,2011-01-30,68,57,93,57,0
河北,2011-01-31,76,0,121,0,0
河北,2011-02-01,76,0,102,0,0
河北,2011-02-02,64,0,66,0,0
河北,2011-02-03,64,0,82,0,0
河北,2011-02-04,72,57,104,0,0
河北,2011-02-05,68,0,85,0,0
河北,2011-02-06,78,0,95,57,57
河北,2011-02-07,72,59,110,0,0
河北,2011-02-08,70,0,104,57,0
河北,2011-02-09,66,59,131,57,0
河北,2011-02-10,93,59,146,57,0
河北,2011-02-11,82,0,159,0,0
河北,2011-02-12,76,0,135,0,0
河北,2011-02-13,85,0,182,0,57
河北,2011-02-14,74,0,135,0,0
河北,2011-02-15,87,0,157,0,0
河北,2011-02-16,82,0,172,57,0
河北,2011-02-17,78,0,148,0,0
河北,2011-02-18,72,0,146,0,0
河北,2011-02-19,64,0,169,57,0
河北,2011-02-20,66,0,151,0,57
河北,2011-02-21,76,57,195,57,0
河北,2011-02-22,74,57,175,0,0
河北,2011-02-23,66,0,226,0,0
河北,2011-02-24,95,59,194,57,61
河北,2011-02-25,78,57,198,57,57
河北,2011-02-26,78,0,146,57,0
河北,2011-02-27,70,0,163,59,0
河北,2011-02-28,76,0,215,57,0
河北,2011-03-01,72,61,205,0,0
河北,2011-03-02,70,59,193,57,0
河北,2011-03-03,80,57,191,76,0
河北,2011-03-04,82,59,237,0,61
河北,2011-03-05,76,0,172,64,0
河北,2011-03-06,80,61,158,57,57
河北,2011-03-07,78,0,236,59,0
河北,2011-03-08,87,57,207,0,59
河北,2011-03-09,89,61,243,0,57
河北,2011-03-10,66,57,218,0,59
河北,2011-03-11,72,57,201,0,57
河北,2011-03-12,74,0,182,0,0
河北,2011-03-13,68,59,157,63,57
河北,2011-03-14,72,57,188,57,59
河北,2011-03-15,68,59,197,57,0
河北,2011-03-16,82,59,187,0,0
河北,2011-03-17,78,57,191,0,0
河北,2011-03-18,83,0,179,0,0
河北,2011-03-19,70,59,159,57,57
河北,2011-03-20,74,59,152,0,0
河北,2011-03-21,70,61,176,0,57
河北,2011-03-22,68,61,182,57,57
河北,2011-03-23,89,64,173,0,0
河北,2011-03-24,76,57,175,57,57
河北,2011-03-25,82,57,170,0,57
河北,2011-03-26,74,59,120,0,0
河北,2011-03-27,87,0,202,0,59
河北,2011-03-28,76,57,205,57,0
河北,2011-03-29,78,61,179,0,57
河北,2011-03-30,82,0,179,0,0
河北,2011-03-31,82,0,204,61,0
河北,2011-04-01,155,0,188,0,57
河北,2011-04-02,82,57,154,0,59
河北,2011-04-03,66,0,131,0,0
河北,2011-04-04,74,0,146,57,57
河北,2011-04-05,63,57,172,0,57
河北,2011-04-06,64,57,242,57,0
河北,2011-04-07,106,61,204,0,0
河北,2011-04-08,70,61,198,0,0
河北,2011-04-09,78,63,190,57,0
河北,2011-04-10,74,59,154,0,57
河北,2011-04-11,74,0,193,0,57
河北,2011-04-12,64,57,194,57,0
河北,2011-04-13,78,0,175,0,57
河北,2011-04-14,78,59,184,0,0
河北,2011-04-15,72,59,182,57,57
河北,2011-04-16,66,0,176,57,0
河北,2011-04-17,80,59,165,0,0
河北,2011-04-18,78,57,200,0,0
河北,2011-04-19,74,0,204,0,0
河北,2011-04-20,80,0,220,0,0
河北,2011-04-21,78,59,226,0,0
河北,2011-04-22,82,0,166,0,59
河北,2011-04-23,64,57,190,0,59
河北,2011-04-24,66,0,123,0,59
河北,2011-04-25,80,63,176,0,0
河北,2011-04-26,78,0,228,0,0
