北京,天津,河北,years,
74889.09862,31894.10473,53499.24209,2011,160282.4454
57666.21303,27044.63602,44842.21076,2012,129553.0598
75328.77071,36916.80814,45322.25862,2013,157567.8375
126612.5667,57509.95606,68075.51731,2014,252198.0401
149478.0902,52874.12702,76098.41856,2015,278450.6357
144790.3168,49124.41803,69674.53041,2016,263589.2653
185096.7057,52918.95029,85704.7196,2017,323720.3756
241849.2478,67471.96842,107233.9989,2018,416555.2152
138784.3583,49542.90779,79347.73697,2019,267675.003
107238.8306,41769.42622,71723.96396,2020,220732.2207
